author_first,city_code1,ym1,city_unitn1,city_units1,class_num1,mag_classn1,class_num_num1,mag_classn_num1,coauthor1,city_code2,ym2,city_unitn2,city_units2,class_num2,mag_classn2,class_num_num2,mag_classn_num2,coauthor2
何雄浪,5101.0,2013-04-01;2015-04-01;,2.0,西南财经大学;西南民族大学;;,F;F;X;F;,经济与管理;经济与管理;,2,1, 赵峰;;,5115.0,2007-07-01;2007-12-01;2006-06-01;,1.0,宜宾学院;,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 李国平; 李国平; 杨继瑞;
何青,1100.0,2015-12-01;2014-12-01;,1.0,中国人民大学;,F;F;F;,经济与管理;经济与管理;,1,1, 钱宗鑫; 郭俊杰; 杜巨澜; 薛畅;,1200.0,2013-06-01;2008-12-01;,1.0,南开大学;,F;F;F;F;,经济与管理;经济与管理;,1,1, 李皓鹏; 王冲;
余翔,1100.0,2016-01-01;,1.0,中国人民银行;,F;,经济与管理;,1,1,,4201.0,2007-12-01;,1.0,华中科技大学;,F;,经济与管理;,1,1, 邱洪华;
俞乔,3100.0,2001-04-01;2002-04-01;,1.0,复旦大学;,F;F;F;,经济与管理;经济与管理;,1,1, 程滢; 陈剑波; 杨江; 张玮;,1100.0,2013-02-01;2009-06-01;,1.0,清华大学;,F;F;F;,经济与管理;经济与管理;,1,1, 刘家鹏; 赵昌文;
俞红海,3100.0,2010-08-01;,1.0,上海财经大学;,F;F;,经济与管理;,1,1, 徐龙炳; 陈百助;,3201.0,2014-05-01;,1.0,南京大学;,F;F;,经济与管理;,1,1, 陆蓉; 徐龙炳;
倪馨,1100.0,2005-10-01;,1.0,北京师范大学;,F;;,经济与管理;,2,1,,1301.0,2002-11-01;,1.0,河北经贸大学;,F;,经济与管理;,1,1, 李海燕;
冯旭南,3100.0,2012-04-01;,1.0,上海大学;,F;F;,经济与管理;,1,1,,5101.0,2016-10-01;2014-04-01;,1.0,西南财经大学;,F;F;F;,经济与管理;经济与管理;,1,1,
刘冲,3100.0,2017-10-01;,1.0,上海财经大学;,D;F;,经济与管理;,2,1, 郭峰; 傅家范; 周强龙;,1100.0,2013-02-01;,1.0,北京大学;,F;F;,经济与管理;,1,1, 厉行;
刘刚,4401.0,2017-08-01;2015-03-01;,1.0,广东财经大学;,F;F;F;F;F;,经济与管理;经济与管理;,1,1, 屈恒; 吴思虹; 卢燕峰;,1100.0,2016-08-01;,1.0,中国人民大学;,F;F;,经济与管理;,1,1, 王泽宇; 程熙鎔;
刘刚,4401.0,2017-08-01;2015-03-01;,1.0,广东财经大学;,F;F;F;F;F;,经济与管理;经济与管理;,1,1, 屈恒; 吴思虹; 卢燕峰;,1200.0,2003-10-01;2002-04-01;,1.0,南开大学;,F;F;,经济与管理;经济与管理;,1,1,
