author_first,city_code_max,city_code_min,city_code1
彭可茂,4401.0,4401.0,False
彭向,3205.0,3205.0,False
彭国华,4401.0,4401.0,False
彭川西,1100.0,1100.0,False
彭恒文,3100.0,1100.0,True
彭新敏,3302.0,3302.0,False
彭方平,4401.0,4401.0,False
彭明雪,1100.0,1100.0,False
彭晓博,1100.0,1100.0,False
彭欢,5000.0,5000.0,False
彭水军,3502.0,3502.0,False
彭江波,5101.0,1100.0,True
彭洁,3100.0,3100.0,False
彭科,4403.0,4403.0,False
彭红枫,4201.0,4201.0,False
彭金荣,1200.0,1200.0,False
彭长桂,1501.0,1501.0,False
彭雪梅,5101.0,5101.0,False
徐丽芳,3100.0,3100.0,False
徐亚平,3401.0,3401.0,False
徐伟呈,3702.0,3702.0,False
徐伟康,4201.0,4201.0,False
徐传谌,2201.0,2201.0,False
徐信忠,1100.0,1100.0,False
徐冬,1200.0,1200.0,False
徐冬根,3100.0,3100.0,False
徐博,2201.0,2201.0,False
徐培华,3100.0,3100.0,False
徐奇渊,1100.0,1100.0,False
徐妍,6101.0,6101.0,False
徐妙妙,5101.0,5101.0,False
徐宏伟,4201.0,4201.0,False
徐小华,3301.0,3301.0,False
徐康宁,3201.0,3201.0,False
徐康康,3100.0,3100.0,False
徐建炜,1100.0,1100.0,False
徐强胜,1100.0,1100.0,False
徐志刚,1100.0,1100.0,False
徐忠,1100.0,1100.0,False
徐慧娟,3100.0,3100.0,False
徐文舸,1100.0,1100.0,False
徐明东,3100.0,3100.0,False
徐明威,2101.0,2101.0,False
徐晋涛,1100.0,1100.0,False
徐晓东,1100.0,1100.0,False
徐晨阳,2102.0,2102.0,False
徐朝阳,1100.0,1100.0,False
徐枫,4401.0,1100.0,True
徐桂华,3100.0,3100.0,False
徐梁,3301.0,3301.0,False
徐欣,3201.0,3201.0,False
徐毅,3201.0,3201.0,False
徐沛,4401.0,4401.0,False
徐洪水,1100.0,1100.0,False
徐浩萍,3100.0,3100.0,False
徐现祥,4401.0,4401.0,False
徐琰超,5301.0,1100.0,True
徐瑛,1100.0,1100.0,False
徐碧琳,1200.0,1200.0,False
徐磊,1100.0,1100.0,False
徐秋菊,5101.0,5101.0,False
徐程兴,1100.0,1100.0,False
徐筱雯,3201.0,3201.0,False
徐红,1100.0,1100.0,False
徐联初,1100.0,1100.0,False
徐舒,5101.0,5101.0,False
徐艺,1100.0,1100.0,False
徐芳,1100.0,1100.0,False
徐莉萍,4401.0,4401.0,False
徐诺金,1100.0,1100.0,False
徐辉,1100.0,1100.0,False
徐静,3401.0,3401.0,False
徐风华,1100.0,1100.0,False
徐飞,4201.0,4201.0,False
徐高,1100.0,1100.0,False
徐鹏程,1100.0,1100.0,False
徐龙炳,4401.0,4401.0,False
惠双民,1100.0,1100.0,False
惠平,3502.0,3502.0,False
慕刘伟,5101.0,5101.0,False
戈宏,1100.0,1100.0,False
戈建国,3100.0,1100.0,True
戎梅,1100.0,1100.0,False
成九雁,1100.0,1100.0,False
成刚,1100.0,1100.0,False
成思危,1100.0,1100.0,False
成瑾,3502.0,3502.0,False
成祺炯,3301.0,3301.0,False
战明华,3301.0,3301.0,False
戚桂林,1100.0,1100.0,False
戴亦一,3502.0,3502.0,False
戴园晨,1100.0,1100.0,False
戴国强,3100.0,3100.0,False
戴广,3201.0,3201.0,False
戴德明,1100.0,1100.0,False
戴文标,3301.0,3301.0,False
戴新华,4301.0,4301.0,False
戴晓兵,2102.0,2102.0,False
戴根有,1100.0,1100.0,False
戴治勇,3301.0,3301.0,False
戴璐,1100.0,1100.0,False
戴相龙,1100.0,1100.0,False
戴稳胜,1100.0,1100.0,False
戴纪星,1200.0,1200.0,False
戴维奇,3301.0,3301.0,False
戴翔,3403.0,3201.0,True
戴胜利,4201.0,4201.0,False
戴艳娟,4401.0,4401.0,False
戴觅,1100.0,1100.0,False
戴金平,1200.0,1200.0,False
戴静,4201.0,4201.0,False
戴魁早,3301.0,3301.0,False
房巧玲,3702.0,3702.0,False
才国伟,4401.0,4401.0,False
拉孜克·买买提,1100.0,1100.0,False
支兆华,1100.0,1100.0,False
支燕,1200.0,1200.0,False
敖荣军,4201.0,4201.0,False
敬志勇,3100.0,3100.0,False
文东伟,1200.0,1200.0,False
文忠桥,3403.0,3403.0,False
文贯中,3100.0,3100.0,False
斯文,3100.0,3100.0,False
斯晓夫,3301.0,3301.0,False
斯琴图雅,3100.0,3100.0,False
方五一,4201.0,4201.0,False
方俊智,5301.0,5301.0,False
方兆本,3401.0,3401.0,False
方先明,3201.0,3201.0,False
方军雄,3100.0,3100.0,False
方勇,3201.0,3201.0,False
方匡南,3502.0,3502.0,False
方少林,4401.0,4401.0,False
方师乐,3301.0,3301.0,False
方平,1100.0,1100.0,False
方意,1100.0,1100.0,False
方慧,3701.0,3701.0,False
方敏,1100.0,1100.0,False
方文全,3100.0,3100.0,False
方斐,3301.0,3301.0,False
方明月,1100.0,1100.0,False
方琦,5101.0,5101.0,False
方福前,1100.0,1100.0,False
方红生,3301.0,3100.0,True
方草,1200.0,1200.0,False
方长丰,2102.0,2102.0,False
方颖,3502.0,3502.0,False
施东晖,3100.0,3100.0,False
施信,1200.0,1200.0,False
施刚,3201.0,3201.0,False
施华强,1100.0,1100.0,False
施卓敏,4401.0,4401.0,False
施建淮,1100.0,1100.0,False
施炳展,1200.0,1200.0,False
施路,3100.0,3100.0,False
施锡铨,3100.0,3100.0,False
旺堆,1100.0,1100.0,False
昌忠泽,1100.0,1100.0,False
易 纲,1100.0,1100.0,False
易会满,3201.0,3201.0,False
易信,1100.0,1100.0,False
易先忠,4301.0,3201.0,True
易志高,3201.0,3201.0,False
易祯,1100.0,1100.0,False
易纲,1100.0,1100.0,False
易荣华,3301.0,3301.0,False
易行健,4401.0,4401.0,False
易靖韬,1100.0,1100.0,False
星焱,1100.0,1100.0,False
晏维龙,3201.0,3201.0,False
景珮,1200.0,1200.0,False
景秀丽,4401.0,4401.0,False
景维民,1200.0,1200.0,False
曲亮,1200.0,1200.0,False
曲兆鹏,1100.0,1100.0,False
曲小刚,6104.0,6104.0,False
曲振涛,2301.0,1100.0,True
曲昭光,2101.0,2101.0,False
曲洪建,3100.0,3100.0,False
曲玥,1100.0,1100.0,False
曲福田,3201.0,3201.0,False
曹丽,6101.0,6101.0,False
曹元涛,1200.0,1200.0,False
曹军新,3601.0,3601.0,False
曹凤岐,1100.0,1100.0,False
曹利莎,3211.0,3211.0,False
曹力群,1100.0,1100.0,False
曹华,1200.0,1200.0,False
曹卫华,6101.0,6101.0,False
曹吉云,1200.0,1200.0,False
曹和平,1100.0,1100.0,False
曹国,3204.0,3204.0,False
曹国华,5000.0,5000.0,False
曹小衡,1200.0,1200.0,False
曹廷求,3701.0,3701.0,False
曹建海,1100.0,1100.0,False
曹慧丰,1100.0,1100.0,False
曹振良,1200.0,1200.0,False
曹春方,5101.0,4401.0,True
曹桂全,1200.0,1200.0,False
曹永福,1100.0,1100.0,False
曹海军,3100.0,3100.0,False
曹涌涛,5000.0,5000.0,False
曹清峰,1200.0,1200.0,False
曹源芳,3201.0,3201.0,False
曹祖毅,4201.0,4201.0,False
曹红辉,1100.0,1100.0,False
曹艳华,6101.0,3702.0,True
曹苏峰,1200.0,1200.0,False
曹越,4301.0,4301.0,False
曹阳,5101.0,3100.0,True
曹雪锋,4401.0,4401.0,False
曹静,1200.0,1100.0,True
曹麟,4301.0,4301.0,False
曾令华,4301.0,4301.0,False
曾伟,1100.0,1100.0,False
曾刚,1100.0,1100.0,False
曾宪久,5101.0,5101.0,False
曾广胜,1200.0,1200.0,False
曾庆生,3100.0,3100.0,False
曾康霖,5101.0,5101.0,False
曾建光,5101.0,1100.0,True
曾晶,3100.0,3100.0,False
曾毅,1100.0,1100.0,False
曾沫冰,4201.0,4201.0,False
曾浩,1100.0,1100.0,False
曾海舰,4501.0,4401.0,True
曾湘泉,1100.0,1100.0,False
曾红颖,1100.0,1100.0,False
曾莹,3100.0,3100.0,False
曾裕峰,3100.0,3100.0,False
曾长虹,4301.0,4301.0,False
曾雪云,1100.0,1100.0,False
曾颖,1100.0,1100.0,False
朱东辰,3301.0,3301.0,False
朱丽,1200.0,1200.0,False
朱丽萍,1100.0,1100.0,False
朱伟骅,3100.0,3100.0,False
朱依曦,3201.0,3201.0,False
朱俊杰,5101.0,5101.0,False
朱信凯,1100.0,1100.0,False
朱元倩,1100.0,1100.0,False
朱光伟,5101.0,5101.0,False
朱光华,1200.0,1200.0,False
朱克桐,6101.0,6101.0,False
朱军,3201.0,3201.0,False
朱农,4201.0,4201.0,False
朱南,5101.0,5101.0,False
朱南军,1100.0,1100.0,False
朱博文,3701.0,3701.0,False
朱卫东,3401.0,3401.0,False
朱叶,3100.0,3100.0,False
朱喜,3100.0,3100.0,False
朱国忠,1100.0,1100.0,False
朱国林,3100.0,3100.0,False
朱国钟,1100.0,1100.0,False
朱天,3100.0,3100.0,False
朱太辉,1100.0,1100.0,False
朱宁,4401.0,4401.0,False
朱宝宪,1100.0,1100.0,False
朱宪辰,3201.0,3201.0,False
朱希伟,3301.0,3301.0,False
朱平芳,3100.0,3100.0,False
