,author_first,unit_city_code,unitnum,unitdiff
27258,江永清,3601.0,2,江西农业大学;江西省委政策研究室;
27259,江永红,1100.0,2,中国人民大学;中央党校;
27260,江汶,4201.0,2,华中师范大学;武汉大学;
27261,江河,4201.0,2,武汉大学;中南财经政法大学;
27262,江河,5000.0,2,西南政法大学;重庆市沙坪坝区人民法院;
27263,江治平,3501.0,2,福州市科技情报研究所;福州市科学技术情报研究所;
27264,江波,1100.0,2,中央民族大学;首都经济贸易大学;
27265,江波,1301.0,2,河北省人民政府;河北省政府;
27266,江波,3100.0,2,同济大学;华东师范大学;
27267,江波,3301.0,2,杭州职业技术学院;浙江工业大学;
27268,江波,3403.0,2,安徽财经大学;蚌埠坦克学院;
27269,江波,4301.0,2,湖南师范大学;湖南广播电视大学;
27270,江波,4401.0,3,中山大学;华南师范大学;暨南大学;
27271,江波,4403.0,2,深圳市南山区人民法院;广东省深圳市南山区人民法院;
27272,江波,5000.0,2,西南政法大学;西南大学;
27273,江泽林,4601.0,2,海南省委;海南省人民政府;
27274,江洁,1100.0,2,北京青年政治学院;北京大学;
27275,江洋,1100.0,3,中国人民大学;北京理工大学;中央编译局;
27276,江洋,3100.0,2,复旦大学;同济大学;
27277,江洪,1100.0,2,中国科学院;国家发展和改革委员会;
27278,江洪,2101.0,2,辽宁青少年研究所;辽宁省青少年研究所;
27279,江洪,4107.0,2,河南省新乡医学院;新乡医学院;
27280,江洲,4301.0,2,湖南省进出口集团;湖南大学;
27281,江浩,3301.0,2,浙江经济职业技术学院;中国美术学院;
27282,江海洋,3100.0,2,上海电影制片厂;上海电影集团;
