author_first,city_code1,ym1,coauthor1,class_num1,mag_classn1,city_code2,ym2,coauthor2,class_num2,mag_classn2,move_time,class_overlap,mag_overlap,coauthor_overlap
周炎,5301.0,2017-12-01;, 王如丰; 魏熙晔; 黄晶;,F;,经济与管理;,1100.0,2012-07-01;, 陈昆亭;,F;F;,经济与管理;,1,1,1,0
周炎,5301.0,2017-12-01;, 王如丰; 魏熙晔; 黄晶;,F;,经济与管理;,3301.0,2016-01-01;, 黄晶; 魏熙晔; 陈昆亭;,F;,经济与管理;,1,1,1,2
周炎,1100.0,2012-07-01;, 陈昆亭;,F;F;,经济与管理;,3301.0,2016-01-01;, 黄晶; 魏熙晔; 陈昆亭;,F;,经济与管理;,1,1,1,1
周燕,1200.0,2012-10-01;, 佟家栋;,F;F;,经济与管理;,4401.0,2017-08-01;,,D;F;,经济与管理;,1,1,1,0
周鹏,1100.0,2001-09-01;,,F;,经济与管理;,2102.0,2014-12-01;2004-10-01;2002-06-01;, 燕浩珍; 张思杰; 张宏志;,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
唐庆春,1100.0,2001-06-01;,,F;,经济与管理;,1200.0,2001-12-01;, 庞继英;,F;,经济与管理;,1,1,1,0
唐跃军,1200.0,2006-02-01;, 谢仍明;,F;,经济与管理;,3100.0,2014-02-01;2010-01-01;2008-01-01;2009-02-01;2007-12-01;, 左晶晶; 李汇东; 宋渊洋; 吕斐适; 程新生; 赵武阳;,D;F;F;F;F;D;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,0
姚勇,1100.0,2005-04-01;, 董利;,F;,经济与管理;,1200.0,2003-04-01;, 罗娅;,F;,经济与管理;,1,1,1,0
姚树洁,6101.0,2005-07-01;, 冯根福; 韩钟伟;,F;,经济与管理;,5000.0,2017-05-01;2015-12-01;2014-11-01;, 冯根福; 王攀; 欧璄华;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,1
姚洪心,3100.0,2012-07-01;, 海闻;,F;F;F;,经济与管理;,5101.0,2005-08-01;, 刘存绪; 武振业;,F;,经济与管理;,1,1,1,0
孙军,3201.0,2008-10-01;,,F;F;F;,经济与管理;,3207.0,2016-05-01;, 高彦彦;,F;,经济与管理;,1,1,1,0
孙凤,1200.0,2001-02-01;,,F;,经济与管理;,1100.0,2002-04-01;,,F;,经济与管理;,1,1,1,0
孙君阳,3701.0,2008-09-01;, 殷世波;,F;,经济与管理;,1100.0,2011-08-01;, 徐娜;,F;F;,经济与管理;,1,1,1,0
孙天琦,3701.0,2004-08-01;,,F;,经济与管理;,6101.0,2001-10-01;,,F;,经济与管理;,1,1,1,0
孙楚仁,5101.0,2017-06-01;, 凌海涛; 陈瑾;,F;F;F;,经济与管理;,3100.0,2014-10-01;, 王松; 赵瑞丽;,F;,经济与管理;,1,1,1,0
孙涛,1100.0,2007-07-01;, 张晓晶;,F;,经济与管理;,3701.0,2010-12-01;, 黄少安;,F;F;,经济与管理;,1,1,1,0
孙红梅,3100.0,2013-07-01;, 王雪;,F;F;F;,经济与管理;,5000.0,2017-05-01;, 宋宗宇;,F;,经济与管理;,1,1,1,0
孙茂辉,3100.0,2006-11-01;,,F;,经济与管理;,4401.0,2001-08-01;,,F;,经济与管理;,1,1,1,0
孟庆斌,1100.0,2015-03-01;2017-12-01;, 吴卫星; 于上尧; 杨俊华; 鲁冰;,F;F;F;,经济与管理;经济与管理;,1200.0,2008-08-01;, 周爱民; 靳晓婷;,F;F;,经济与管理;,1,1,1,0
宋凌云,4401.0,2012-10-01;, 王贤彬; 徐现祥;,F;F;,经济与管理;,4503.0,2016-12-01;, 王贤彬;,F;,经济与管理;,1,1,1,1
尹振东,3701.0,2011-04-01;,,D;,经济与管理;,1100.0,2016-04-01;, 汤玉刚;,F;,经济与管理;,1,0,1,0
巫强,3201.0,2009-06-01;, 刘志彪;,F;F;,经济与管理;,1100.0,2017-08-01;, 周波;,F;,经济与管理;,1,1,1,0
巴曙松,1100.0,2012-06-01;, 韦勇凤; 孙兴亮;,F;,经济与管理;,3401.0,2009-06-01;, 严敏;,F;F;F;,经济与管理;,1,1,1,0
张东刚,1200.0,2001-06-01;,,F;,经济与管理;,1100.0,2002-12-01;,,F;,经济与管理;,1,1,1,0
张云,1100.0,2015-07-01;,,F;F;,经济与管理;,1200.0,2017-10-01;, 刘帅光; 李双建;,F;F;,经济与管理;,1,1,1,0
张伟,3201.0,2016-12-01;, 朱启贵; 高辉;,F;F;F;,经济与管理;,1100.0,2004-07-01;,,F;,经济与管理;,1,1,1,0
张伟,3201.0,2016-12-01;, 朱启贵; 高辉;,F;F;F;,经济与管理;,5201.0,2013-10-01;2011-10-01;, 朱启贵; 李汉文; 吴文元;,F;X;F;F;,经济与管理;经济与管理;,1,1,1,1
张伟,3201.0,2016-12-01;, 朱启贵; 高辉;,F;F;F;,经济与管理;,3701.0,2017-03-01;, 于良春;,F;,经济与管理;,1,1,1,0
张伟,1100.0,2004-07-01;,,F;,经济与管理;,5201.0,2013-10-01;2011-10-01;, 朱启贵; 李汉文; 吴文元;,F;X;F;F;,经济与管理;经济与管理;,1,1,1,0
张伟,1100.0,2004-07-01;,,F;,经济与管理;,3701.0,2017-03-01;, 于良春;,F;,经济与管理;,1,1,1,0
张伟,5201.0,2013-10-01;2011-10-01;, 朱启贵; 李汉文; 吴文元;,F;X;F;F;,经济与管理;经济与管理;,3701.0,2017-03-01;, 于良春;,F;,经济与管理;,1,1,1,0
张兵,1200.0,2011-09-01;2015-06-01;2012-08-01;, 李翠莲;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,3201.0,2010-11-01;2008-09-01;2003-01-01;2017-10-01;2015-01-01;, 范致镇; 李心丹; 封思贤; 李心丹; 汪慧建; 李晓明; 陈晓莹; 李丹; 孟德峰;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,4,1,1,0
张勇,2102.0,2017-04-01;,,F;F;F;,经济与管理;,4401.0,2008-02-01;,,F;F;,经济与管理;,1,1,1,0
张勇,2102.0,2017-04-01;,,F;F;F;,经济与管理;,1100.0,2014-10-01;2009-05-01;, 李政军; 龚六堂; 王玺; 古明明;,F;F;F;F;F;,经济与管理;经济与管理;,1,1,1,0
张勇,2102.0,2017-04-01;,,F;F;F;,经济与管理;,3201.0,2015-07-01;,,F;,经济与管理;,1,1,1,0
张勇,4401.0,2008-02-01;,,F;F;,经济与管理;,1100.0,2014-10-01;2009-05-01;, 李政军; 龚六堂; 王玺; 古明明;,F;F;F;F;F;,经济与管理;经济与管理;,1,1,1,0
张勇,4401.0,2008-02-01;,,F;F;,经济与管理;,3201.0,2015-07-01;,,F;,经济与管理;,1,1,1,0
张勇,1100.0,2014-10-01;2009-05-01;, 李政军; 龚六堂; 王玺; 古明明;,F;F;F;F;F;,经济与管理;经济与管理;,3201.0,2015-07-01;,,F;,经济与管理;,1,1,1,0
张卫国,3701.0,2011-08-01;2008-02-01;, 任燕燕; 花小安;;,F;D;H;,经济与管理;经济与管理;,5000.0,2011-07-01;2015-08-01;, 梁小翠; 陆静; 罗超平; 李海明;,F;F;F;F;F;F;,经济与管理;经济与管理;,3,1,1,0
张卫平,3100.0,2012-04-01;, 李天栋;,F;F;,经济与管理;,1100.0,2007-07-01;,,F;F;,经济与管理;,1,1,1,0
