,author_unit_first
503,中国工商银行
504,中国工商银行
505,中国工商银行
506,中国工商银行
507,中国工商银行
508,中国工商银行
509,中国工商银行
510,中国工商银行
511,首都经贸大学
512,首都经贸大学
513,中国工商银行
514,中国工商银行
515,中国工商银行
516,中国工商银行
517,中国工商银行
518,中国工商银行
519,中国工商银行
520,中国工商银行
521,中国工商银行
522,中国工商银行
523,华南师大经济管理学院
524,中国工商银行
525,中国工商银行
526,中国工商银行
527,中国工商银行
528,中国工商银行
529,中国工商银行
530,中国工商银行
531,中国工商银行
532,中国工商银行
533,中国工商银行
534,中国工商银行
535,中国工商银行
536,中国工商银行
537,中国工商银行
538,中国工商银行
539,中国工商银行
540,中国工商银行
541,中国工商银行
542,中国工商银行
543,中国工商银行
544,中国工商银行
545,中国工商银行
546,中国工商银行
547,中国工商银行
548,中国工商银行
549,中国工商银行
550,中国工商银行
551,中国工商银行
552,中国工商银行
553,中国工商银行
554,中国工商银行
555,中国工商银行
556,中国工商银行
557,中国工商银行
558,中国工商银行
559,中国工商银行
560,中国工商银行
561,中国工商银行
562,中国工商银行
563,中国工商银行
564,中国工商银行
565,中国工商银行
566,中国工商银行
567,中国工商银行
568,中国工商银行
569,中国工商银行
570,中国工商银行
571,中国工商银行
572,中国工商银行
573,中国工商银行
574,中国工商银行
575,中国工商银行
576,中国工商银行
577,中国工商银行
578,中国工商银行
579,中国工商银行
580,中国工商银行
581,中国工商银行
582,中国工商银行
583,中国工商银行
584,中国工商银行
585,中国工商银行
586,中国工商银行
587,中国工商银行
588,中国工商银行
589,中国工商银行
590,中国工商银行
591,中国工商银行
592,中国工商银行
593,中国工商银行
594,中国工商银行
595,中国工商银行
596,中国工商银行
597,中国工商银行
598,中国工商银行
599,中国工商银行
600,中国工商银行
601,中国工商银行
602,中国工商银行
603,中国工商银行
604,中国工商银行
606,中国工商银行
607,中国工商银行
608,广东佛山大学
609,中国工商银行
610,中国工商银行
611,中国工商银行
612,中国工商银行
613,中国工商银行
614,中国工商银行
615,中国工商银行
616,中国工商银行
617,中国工商银行
618,中国工商银行
619,中国工商银行
620,中国工商银行
621,中国工商银行
622,中国工商银行
623,中国工商银行
624,中国工商银行
625,中国工商银行
626,中国工商银行
627,中国工商银行
628,中国工商银行
629,中国工商银行
630,中国工商银行
631,中国工商银行
632,中国工商银行
633,中国工商银行
634,中国工商银行
635,中国工商银行
636,中国工商银行
638,天津市经济发展研究所
639,中国工商银行
640,国家审计署
641,中国工商银行
642,中国工商银行
643,中国工商银行
644,中国工商银行
645,中国建设银行
646,中国工商银行
647,中国工商银行
649,中国工商银行
650,中国工商银行
651,中国工商银行
652,中国工商银行
653,青岛海洋大学
654,中国工商银行
655,中国工商银行
656,中国工商银行
657,中国工商银行
658,中国工商银行
659,中国工商银行
660,中国工商银行
661,重庆商学院
662,中国工商银行
663,中国工商银行
664,中国工商银行
665,中国工商银行
666,中国工商银行
667,对外经贸大学
668,中国工商银行
669,中国工商银行
670,中国工商银行
671,中国工商银行
672,中国工商银行
673,中国工商银行
674,中国工商银行
675,中国工商银行
676,中国工商银行
677,中国工商银行
678,中国工商银行
679,中国工商银行
680,中国工商银行
681,中国工商银行
682,中国工商银行
683,中国工商银行
684,中国工商银行
685,中国工商银行
686,中国工商银行
687,中国工商银行
688,中国工商银行
689,中国工商银行
690,中国工商银行
691,中国工商银行
692,天津财经学院
693,中国工商银行
694,中国工商银行
695,中国工商银行
696,中国工商银行
697,南京经济学院
698,中国工商银行
699,中国工商银行
700,中国工商银行
701,中国工商银行
702,中国工商银行
703,中国工商银行
704,中国工商银行
705,中信实业银行
706,中国工商银行
707,中国工商银行
708,中国工商银行
709,中国工商银行
710,中国工商银行
711,中国工商银行
712,中国工商银行
713,中国工商银行
714,中国工商银行
715,中国工商银行
716,中国工商银行
717,中国工商银行
718,中国工商银行
719,中国工商银行
720,中国工商银行
721,中国工商银行
722,中国工商银行
723,中国工商银行
724,中国工商银行
725,中国工商银行
726,中国工商银行
727,中国工商银行
728,中国工商银行
729,中国工商银行
730,中国工商银行
731,中国工商银行
732,中国工商银行
733,中国工商银行
734,中国工商银行
735,中国工商银行
736,中国工商银行
737,中国工商银行
738,上海对外贸易学院
740,中国工商银行
741,中国工商银行
742,中国工商银行
743,中国工商银行
744,中国工商银行
745,中国工商银行
746,中国工商银行
747,中国工商银行
748,中国工商银行
749,中国工商银行
750,中国工商银行
751,中国工商银行
752,中国工商银行
753,中国工商银行
754,中国工商银行
755,中国工商银行
756,中国工商银行
757,青岛海洋大学
758,中国工商银行
759,广州中山大学
760,中国工商银行
761,中国工商银行
762,中国工商银行
763,中国工商银行
764,中国工商银行
765,中国建设银行
766,中国工商银行
767,中国工商银行
768,杭州电子工业学院
769,中国工商银行
770,中国工商银行
771,中国科技大学
772,中国工商银行
773,中国工商银行
774,中国建设银行
775,中国工商银行
776,中国工商银行
777,中国工商银行
778,中国工商银行
779,中国工商银行
780,中国建设银行
781,中国工商银行
782,中国工商银行
783,中国建设银行
784,中国工商银行
785,国元证券
786,中国工商银行
787,中国社科院金融研究所
788,Department
790,湖北武汉市华中科技大学
791,中国工商银行
792,国海证券
794,北京天则经济研究所
795,上海对外贸易学院
796,南京审计学院
797,浙江财经学院
798,上海对外贸易学院
799,浙江财经学院
800,上海立信会计学院
801,南京审计学院
802,杰夫经济工作室
803,Dpartement
804,广东省广州市暨南大学
805,浙江财经学院
806,上海对外贸易学院
807,浙江财经学院
808,浙江财经学院
809,上海对外贸易学院
810,Baruch
811,南京审计学院
812,Depart
813,浙江财经学院
814,图卢兹一大经济系
816,海市地质调查研究院
817,Nottingham
818,中国证监会湖北监管局
819,上海对外贸易学院
821,中国建设银行
822,Case
823,博时基金管理有限公司
824,北京天则经济研究所
826,三一学院
828,中欧工商管理学院
829,鸿商控股有限公司
830,国际食物政策研究所
831,麦肯锡公司
832,Monash
834,国际粮食政策研究所
835,国网能源研究院
836,中国工商银行
837,兰州商学院
838,经济学院
839,赣南师范商学院
840,四川省成都市西南民族大学
841,兰州商学院
842,对外经贸大学
843,南京审计学院
844,上海金融学院
845,上海对外贸易学院
846,浙江财经学院
848,武汉工业学院
849,山东经济学院
850,育达商业技术学院
851,河南财经学院
852,安庆师范学院
853,上海对外贸易学院
854,山东财政学院
855,国家教育部
856,中国证监会天津市证监局
857,中科院研究生院管理学院
858,对外经济贸易
859,虚拟经济研究中心
860,中国证监会天津证监局
861,天津理工学院
862,南开经济研究所
864,山东经济学院
865,北京清华大学
866,深圳发展银行
867,天津商学院
868,天津商学院
870,天津南开大学
871,山东经济学院
875,联合证券
876,天津财经学院
878,the
879,Department
880,Department
881,天津财经学院
882,山东胜利石油管理局
883,桂林工学院
884,南京经济学院
885,南通师范学院
886,广东发展银行
887,南京经济学院
888,山东财政学院
889,浙江财经学院
890,南京经济学院
891,中南财经大学
892,浙江财经学院
893,广东商学院
894,中国工商银行
895,天津财经学院
896,重庆商学院
897,天津商学院
898,中国工商银行
899,广东发展银行
900,深圳市商业银行
901,中国证监会成都证管办
902,中国工商银行
903,长春税务学院
904,中国工商银行
905,南京经济学院
906,南京经济学院
907,中国建设银行
908,中信实业银行
909,南京经济学院
910,天津财经学院
911,国家发展计划委员会
912,中国工商银行
914,中国人发银行
915,中国工商银行
916,中国工商银行
919,上海行政学院
