author_first,author_unit_first,unit_city_code,city_unitn,city_units,class_num,class_num_num,coauthor,mag_classn,mag_classn_num,ym,author_first0
刘瑞明,中国人民大学;,1100.0,1.0,中国人民大学;,G;F;D;F;,3, 赵仁杰; 段雨玮; 黄维乔;,经济与管理;经济与管理;,1,2016-10-01;2017-03-01;,刘瑞明
刘瑞明,复旦大学;,3100.0,1.0,复旦大学;,F;F;F;F;F;,1, 石磊;,经济与管理;经济与管理;,1,2010-01-01;2011-01-01;,刘瑞明
刘瑞明,西北大学;,6101.0,1.0,西北大学;,F;F;F;F;F;F;F;,1, 赵仁杰; 石磊; 石磊; 白永秀;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,2015-08-01;2015-04-01;2011-12-01;2011-12-01;2007-10-01;,刘瑞明
刘瑶,东北财经大学;,2102.0,1.0,东北财经大学;,F;F;F;,1, 孙浦阳;,经济与管理;,1,2012-10-01;,刘瑶
刘瑶,南开大学;,1200.0,1.0,南开大学;,F;F;,1,,经济与管理;,1,2011-03-01;,刘瑶
刘畅,南京农业大学;,3201.0,1.0,南京农业大学;,C;,1, 易福金; 徐志刚;,经济与管理;,1,2017-07-01;,刘畅
刘畅,北京大学;,1100.0,1.0,北京大学;,F;F;,1, 刘冲; 马光荣;,经济与管理;,1,2017-08-01;,刘畅
刘胜会,中国人民银行;,1100.0,1.0,中国人民银行;,F;,1,,经济与管理;,1,2011-10-01;,刘胜会
刘胜会,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2006-06-01;,刘胜会
刘阳,南京师范大学;,3201.0,1.0,南京师范大学;,F;,1, 董俊杰;,经济与管理;,1,2013-12-01;,刘阳
刘阳,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2003-08-01;,刘阳
刘青,南开大学;,1200.0,1.0,南开大学;,F;,1, 刘志远; 张健;,经济与管理;,1,2007-02-01;,刘青
刘青,,1100.0,2.0,对外经济贸易大学;中国社会科学院;;,F;F;,1, 陶攀; 洪俊杰;;,经济与管理;经济与管理;,1,2017-01-01;2012-07-01;,刘青
刘静,中国农业科学院;,1100.0,1.0,中国农业科学院;,F;,1, Ruth Meinzen-Dick; 钱克明; 张陆彪; 蒋藜;,经济与管理;,1,2008-01-01;,刘静
刘静,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2002-06-01;,刘静
刘飞,中南财经政法大学;,4201.0,1.0,中南财经政法大学;,F;F;F;,1,,经济与管理;,1,2013-02-01;,刘飞
刘飞,,6101.0,2.0,西安邮电大学;西安交通大学;;,F;F;F;F;,1,;;,经济与管理;经济与管理;经济与管理;,1,2015-04-01;2014-06-01;2011-08-01;,刘飞
卢晶亮,上海财经大学;,3100.0,1.0,上海财经大学;,D;F;F;,2, 冯帅章; 艾春荣;,经济与管理;,1,2014-04-01;,卢晶亮
卢晶亮,暨南大学;,4401.0,1.0,暨南大学;,F;F;,1,,经济与管理;,1,2017-01-01;,卢晶亮
叶光亮,中山大学;,4401.0,1.0,中山大学;,F;F;,1, 邓国营;,经济与管理;,1,2010-01-01;,叶光亮
叶光亮,中国人民大学;,1100.0,1.0,中国人民大学;,F;F;,1, 邓国营; 黎志刚;,经济与管理;,1,2011-12-01;,叶光亮
吴先明,武汉大学;,4201.0,1.0,武汉大学;,F;F;,1, 张楠; 赵奇伟;,经济与管理;,1,2017-10-01;,吴先明
吴先明,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2002-08-01;,吴先明
吴志峰,招商银行;,4403.0,1.0,招商银行;,F;F;,1,,经济与管理;,1,2006-05-01;,吴志峰
吴志峰,北京大学;,1100.0,1.0,北京大学;,F;,1,,经济与管理;,1,2005-06-01;,吴志峰
吴联生,北京大学;,1100.0,1.0,北京大学;,F;F;F;F;F;F;F;F;,1, 王亚平; 王亚平;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,2009-10-01;2007-08-01;2005-07-01;2004-03-01;2003-06-01;2002-04-01;,吴联生
吴联生,厦门大学;,3502.0,1.0,厦门大学;,F;,1,,经济与管理;,1,2001-02-01;,吴联生
周丹,浙江财经大学;,3301.0,1.0,浙江财经大学;,F;F;,1, 金雪军;,经济与管理;,1,2014-02-01;,周丹
周丹,北京农学院;,1100.0,1.0,北京农学院;,F;F;,1,,经济与管理;,1,2015-06-01;,周丹
周云波,南开大学;,1200.0,1.0,南开大学;,F;F;F;F;F;,1, 田柳; 陈岑;,经济与管理;经济与管理;经济与管理;,1,2017-11-01;2009-07-01;2004-06-01;,周云波
周云波,中国特色社会主义经济建设协同创新中心;,1100.0,1.0,中国特色社会主义经济建设协同创新中心;,F;F;,1, 陈岑; 田柳;,经济与管理;,1,2015-12-01;,周云波
周冰,南开大学;,1200.0,1.0,南开大学;,F;D;F;F;,2, 郑志; 黄卫华; 商晨; 谭庆刚; 谭庆刚;,经济与管理;经济与管理;经济与管理;经济与管理;,1,2001-01-01;2008-04-01;2006-12-01;2004-10-01;,周冰
周冰,申银万国证券;,3100.0,1.0,申银万国证券;,F;,1,,经济与管理;,1,2012-02-01;,周冰
周密,河海大学;,3201.0,1.0,河海大学;,F;,1, 张桂霞;,经济与管理;,1,2006-09-01;,周密
周密,南开大学;,1200.0,1.0,南开大学;,F;F;F;,1, 刘秉镰; 盛玉雪;,经济与管理;经济与管理;,1,2017-02-01;2012-06-01;,周密
周建,上海财经大学;,3100.0,1.0,上海财经大学;,F;F;F;F;F;F;F;F;,1, 艾春荣; 王丹枫; 唐莹; 况明; 杨秀祯;,经济与管理;经济与管理;经济与管理;经济与管理;,1,2013-02-01;2015-02-01;2009-01-01;2007-06-01;,周建
周建,清华大学;,1100.0,1.0,清华大学;,F;,1,,经济与管理;,1,2002-04-01;,周建
周建波,上海财经大学;,3100.0,1.0,上海财经大学;,F;,1, 孙菊生;,经济与管理;,1,2003-05-01;,周建波
周建波,北京大学;,1100.0,1.0,北京大学;,F;F;K;,2, 张博; 周建涛; 张博; 周建涛;,经济与管理;经济与管理;,1,2017-04-01;2013-10-01;,周建波
周彬,浙江大学;,3301.0,1.0,浙江大学;,F;,1,,经济与管理;,1,2003-09-01;,周彬
周彬,工商银行;,1100.0,1.0,工商银行;,F;,1,,经济与管理;,1,2001-02-01;,周彬
周文,云南财经大学;,5301.0,1.0,云南财经大学;,F;F;,1, 赵果庆;,经济与管理;,1,2012-05-01;,周文
周文,复旦大学;,3100.0,1.0,复旦大学;,D;F;F;F;,2, 赵方; 杨飞; 李鲁;,经济与管理;经济与管理;,1,2017-06-01;2016-03-01;,周文
周炎,云南财经大学;,5301.0,1.0,云南财经大学;,F;,1, 王如丰; 魏熙晔; 黄晶;,经济与管理;,1,2017-12-01;,周炎
周炎,北京大学;,1100.0,1.0,北京大学;,F;F;,1, 陈昆亭;,经济与管理;,1,2012-07-01;,周炎
周炎,浙江工业大学;,3301.0,1.0,浙江工业大学;,F;,1, 黄晶; 魏熙晔; 陈昆亭;,经济与管理;,1,2016-01-01;,周炎
周燕,南开大学;,1200.0,1.0,南开大学;,F;F;,1, 佟家栋;,经济与管理;,1,2012-10-01;,周燕
周燕,中山大学;,4401.0,1.0,中山大学;,D;F;,2,,经济与管理;,1,2017-08-01;,周燕
周鹏,中国银行;,1100.0,1.0,中国银行;,F;,1,,经济与管理;,1,2001-09-01;,周鹏
周鹏,东北财经大学;,2102.0,1.0,东北财经大学;,F;F;F;,1, 燕浩珍; 张思杰; 张宏志;,经济与管理;经济与管理;经济与管理;,1,2014-12-01;2004-10-01;2002-06-01;,周鹏
唐庆春,中国民生银行;,1100.0,1.0,中国民生银行;,F;,1,,经济与管理;,1,2001-06-01;,唐庆春
唐庆春,南开大学;,1200.0,1.0,南开大学;,F;,1, 庞继英;,经济与管理;,1,2001-12-01;,唐庆春
唐跃军,南开大学;,1200.0,1.0,南开大学;,F;,1, 谢仍明;,经济与管理;,1,2006-02-01;,唐跃军
唐跃军,复旦大学;,3100.0,1.0,复旦大学;,D;F;F;F;F;D;F;F;,2, 左晶晶; 李汇东; 宋渊洋; 吕斐适; 程新生; 赵武阳;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,2014-02-01;2010-01-01;2008-01-01;2009-02-01;2007-12-01;,唐跃军
姚勇,中国人民大学;,1100.0,1.0,中国人民大学;,F;,1, 董利;,经济与管理;,1,2005-04-01;,姚勇
姚勇,南开大学;,1200.0,1.0,南开大学;,F;,1, 罗娅;,经济与管理;,1,2003-04-01;,姚勇
