author_first,author_unit_first,unit_city_code,ym,coauthor,class_num,mag_classn,class_num_num,mag_classn_num,author_first.1,unit_city_code.1,city_unitn,city_units
梁琦,中山大学;,4401.0,2012-04-01;2012-04-01;2008-07-01;, 丁树; 王如玉; 黄卓; 吴俊;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,中山大学;
梁琦,南京大学;,3201.0,2005-07-01;2004-07-01;2002-10-01;2003-06-01;, 施晓苏; 张二震;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,1,南京大学;
楼国强,上海财经大学;,3100.0,2010-12-01;2013-12-01;2011-08-01;,,F;C;F;F;F;,经济与管理;经济与管理;经济与管理;,2,1,,,1,上海财经大学;
楼国强,北京大学;,1100.0,2005-08-01;,,F;,经济与管理;,1,1,,,1,北京大学;
樊丽明,上海财经大学;,3100.0,2014-08-01;, 解垩;,F;F;,经济与管理;,1,1,,,1,上海财经大学;
樊丽明,山东大学;,3701.0,2002-04-01;,,F;,经济与管理;,1,1,,,1,山东大学;
欧阳志刚,中南财经政法大学;,4201.0,2017-02-01;2013-07-01;2015-06-01;, 薛龙; 潜力;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,中南财经政法大学;
欧阳志刚,华东交通大学;,3601.0,2012-09-01;2011-07-01;2010-07-01;2009-09-01;, 高凌云; 史焕平; 史焕平; 王世杰;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,1,华东交通大学;
毛捷,对外经济贸易大学;,1100.0,2015-07-01;2015-07-01;2011-12-01;2012-07-01;, 吕冰洋; 马光荣; 管汉晖; 林智贤; 汪德华; 白重恩; 汪德华; 白重恩;,F;D;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,对外经济贸易大学;
毛捷,浙江大学;,3301.0,2005-04-01;, 金雪军; 袁佳;,F;F;,经济与管理;,1,1,,,1,浙江大学;
