,city_code,city_name,pro_code,pro_name,city_lat,city_long,dist,site_id,site_name
145,3713,临沂市,37,山东省,35.1051,118.3507,29,54936,莒县
146,3714,德州市,37,山东省,37.4332,116.3516,27,54715,陵县
147,3715,聊城市,37,山东省,36.4567,115.9854,64,54808,莘县
148,3716,滨州市,37,山东省,37.3814,117.9648,32,54744,垦利
149,3717,菏泽市,37,山东省,35.2341,115.4748,25,54909,定陶
150,4101,郑州市,41,河南省,34.7478,113.6254,41,57083,郑州
151,4102,开封市,41,河南省,34.7981,114.3017,38,57091,开封
152,4103,洛阳市,41,河南省,34.6185,112.4543,22,57071,孟津
153,4104,平顶山市,41,河南省,33.7676,113.1865,30,57181,宝丰
154,4105,安阳市,41,河南省,37.3943,126.9568,377,54497,丹东
155,4106,鹤壁市,41,河南省,35.7472,114.2973,37,53898,安阳
156,4107,新乡市,41,河南省,35.3036,113.9209,37,53986,新乡
157,4108,焦作市,41,河南省,35.2164,113.2355,26,53986,新乡
158,4109,濮阳市,41,河南省,35.7621,115.0293,52,54808,莘县
159,4110,许昌市,41,河南省,34.037,113.8467,26,57089,许昌
160,4111,漯河市,41,河南省,33.5829,114.0106,30,57193,西华
161,4112,三门峽市,41,河南省,34.7724,111.2002,33,57051,三门峡
162,4113,南阳市,41,河南省,32.9926,112.5225,22,57178,南阳
163,4114,商丘市,41,河南省,34.4142,115.6564,35,58005,商丘
164,4115,信阳市,41,河南省,32.149,114.0854,9,57297,信阳
165,4116,周口市,41,河南省,33.6203,114.6522,35,57193,西华
166,4117,驻马店市,41,河南省,33.0115,114.0223,57,57193,西华
167,4201,武汉市,42,湖北省,30.5931,114.3054,36,57494,武汉
168,4202,黄石市,42,湖北省,30.2021,115.0332,7,58407,黄石
169,4203,十堰市,42,湖北省,32.6294,110.79799999999999,40,57256,十堰
170,4205,宜昌市,42,湖北省,30.6944,111.2808,28,57461,宜昌
171,4206,襄阳市,42,湖北省,32.0109,112.1163,6,57278,襄樊
172,4207,鄂州市,42,湖北省,30.3919,114.8948,30,58407,黄石
173,4208,荆门市,42,湖北省,31.0376,112.1934,18,57378,钟祥
174,4209,孝感市,42,湖北省,30.927,113.9114,48,57395,大悟
175,4210,荆州市,42,湖北省,30.3352,112.2397,20,57476,荆州
176,4211,黄冈市,42,湖北省,30.4566,114.8672,38,58407,黄石
177,4212,咸宁市,42,湖北省,29.8414,114.3225,42,57493,江夏
178,4213,随州市,42,湖北省,31.6921,113.3763,39,57381,随州
179,4228,恩施土家族苗族自治州,42,湖北省,30.2722,109.4882,11,57445,建始
180,4301,长沙市,43,湖南省,28.2317,112.9334,21,57679,马坡岭
181,4302,株洲市,43,湖南省,27.8276,113.134,32,57679,马坡岭
182,4303,湘潭市,43,湖南省,27.8332,112.9386,36,57679,马坡岭
183,4304,衡阳市,43,湖南省,26.8932,112.572,35,57776,南岳
184,4305,邵阳市,43,湖南省,27.2421,111.4622,24,57766,邵阳市
185,4306,岳阳市,43,湖南省,29.3571,113.12899999999999,16,57584,岳阳
186,4307,常德市,43,湖南省,29.0347,111.6929,27,57662,常德
187,4308,张家界市,43,湖南省,29.1171,110.4792,39,57554,桑植
188,4309,益阳市,43,湖南省,28.557,112.3495,13,57671,沅江
189,4310,郴州市,43,湖南省,25.7705,113.0147,57,57972,郴州
190,4311,永州市,43,湖南省,26.424,111.6082,39,57866,永州
191,4312,怀化市,43,湖南省,27.555,109.9985,23,57749,怀化
192,4313,娄底市,43,湖南省,27.7034,111.988,49,57774,双峰
193,4331,湘西土家族苗族自治州,43,湖南省,28.3119,109.7392,36,57642,保靖
194,4401,广州市,44,广东省,23.1318,113.2591,3,59287,广州
195,4402,韶关市,44,广东省,24.8104,113.5975,51,59082,韶关
196,4403,深圳市,44,广东省,22.5458,114.0528,24,59493,深圳
197,4404,珠海市,44,广东省,22.2707,113.5767,26,59488,珠海
198,4405,汕头市,44,广东省,23.3533,116.6818,30,59316,汕头
199,4406,佛山市,44,广东省,23.0241,113.1159,21,59287,广州
200,4407,江门市,44,广东省,22.5787,113.0819,34,59485,中山
201,4408,湛江市,44,广东省,21.2731,110.3549,25,59664,电白
202,4409,茂名市,44,广东省,21.663,110.9255,50,59664,电白
203,4412,肇庆市,44,广东省,23.0498,112.4598,42,59271,广宁
204,4413,惠州市,44,广东省,23.1118,114.4162,21,59298,惠阳
205,4414,梅州市,44,广东省,24.2886,116.1222,15,59117,梅县
206,4415,汕尾市,44,广东省,22.7888,115.3703,37,59501,汕尾
207,4416,河源市,44,广东省,23.7435,114.7004,39,59293,河源
208,4417,阳江市,44,广东省,21.8607,111.9772,55,59663,阳江
209,4418,清远市,44,广东省,23.6818,113.056,28,59280,清远
210,4419,东莞市,44,广东省,23.0205,113.7518,32,59294,增城
211,4420,中山市,44,广东省,22.5194,113.3873,8,59289,东莞
212,4451,潮州市,44,广东省,23.656999999999996,116.6226,52,59316,汕头
213,4452,揭阳市,44,广东省,23.5524,116.3681,29,59310,丰顺
214,4453,云浮市,44,广东省,22.9151,112.0445,44,59278,高要
215,4501,南宁市,45,广西壮族自治区,22.8199,108.3621,54,59431,南宁
216,4502,柳州市,45,广西壮族自治区,24.3255,109.416,21,59046,柳州
217,4503,桂林市,45,广西壮族自治区,25.2764,110.2856,14,57957,桂林
218,4504,梧州市,45,广西壮族自治区,23.476999999999997,111.2791,23,59265,梧州
