,city_name,city_code,year,month,temp,gtemp,rain,wind,sunshine,humidity
383,海北藏族自治州,6322.0,2017,1,-9.870967741935484,-9.09032258064516,0.0,1.1096774193548389,6.6483870967741945,43.0
384,海北藏族自治州,6322.0,2017,12,-8.74193548387097,-7.641935483870967,0.0032258064516129032,1.0806451612903225,6.790322580645162,45.967741935483865
385,海南藏族自治州,6325.0,2017,1,-7.238709677419354,-7.387096774193548,0.0,0.9903225806451614,7.429032258064518,41.483870967741936
386,海南藏族自治州,6325.0,2017,12,-6.506451612903227,-8.264516129032257,0.07096774193548387,1.0483870967741935,7.896774193548388,43.25806451612904
387,海口市,4601.0,2017,1,19.73225806451613,21.47741935483871,1.0,3.2870967741935484,2.661290322580645,88.0
388,海口市,4601.0,2017,12,18.967741935483872,21.05161290322581,0.4258064516129032,3.412903225806453,2.938709677419355,76.5806451612903
389,海西蒙古族藏族自治州,6328.0,2017,1,-7.938709677419353,-8.299999999999999,0.022580645161290318,1.135483870967742,7.209677419354839,36.0
390,海西蒙古族藏族自治州,6328.0,2017,12,-7.090322580645162,-7.996774193548387,0.012903225806451613,1.274193548387097,6.641935483870969,33.16129032258065
391,淄博市,3703.0,2017,1,-0.3483870967741936,-0.2806451612903225,0.31935483870967746,1.8806451612903228,4.041935483870968,65.58064516129032
392,淄博市,3703.0,2017,12,0.8677419354838711,-1.3774193548387093,0.0,1.8741935483870968,5.4967741935483865,52.935483870967744
393,淮北市,3406.0,2017,1,2.8483870967741938,3.2322580645161296,1.474193548387097,1.7064516129032257,5.3419354838709685,70.6774193548387
394,淮北市,3406.0,2017,12,3.338709677419355,3.1967741935483867,0.022580645161290318,1.4774193548387098,6.451612903225807,58.225806451612904
395,淮南市,3404.0,2017,1,3.641935483870967,4.606451612903227,1.596774193548387,2.7322580645161296,4.9290322580645185,78.6774193548387
396,淮南市,3404.0,2017,12,4.083870967741936,4.032258064516129,0.1258064516129032,2.1774193548387086,5.7516129032258085,69.03225806451613
397,淮安市,3208.0,2017,1,3.170967741935484,4.132258064516128,1.5032258064516126,1.8838709677419356,4.603225806451613,77.74193548387096
398,淮安市,3208.0,2017,12,3.9,4.032258064516128,0.04516129032258065,2.0612903225806454,4.964516129032259,66.7741935483871
399,深圳市,4403.0,2017,1,18.058064516129036,21.435483870967747,0.16129032258064516,1.5548387096774194,4.825806451612904,77.48387096774194
400,深圳市,4403.0,2017,12,17.45161290322581,20.77741935483871,0.0,2.1,5.912903225806452,57.032258064516135
401,清远市,4418.0,2017,1,15.558064516129036,17.238709677419358,0.967741935483871,3.3032258064516125,3.8129032258064512,73.64516129032258
402,清远市,4418.0,2017,12,14.938709677419356,16.396774193548385,0.029032258064516123,4.083870967741936,5.167741935483871,56.354838709677416
403,温州市,3303.0,2017,1,9.996774193548386,11.280645161290321,0.9129032258064516,4.216129032258064,3.1483870967741936,75.0
404,温州市,3303.0,2017,12,10.01935483870968,10.290322580645157,0.9548387096774192,4.467741935483871,4.883870967741935,64.51612903225806
405,渭南市,6105.0,2017,1,2.4903225806451603,2.612903225806451,0.12258064516129033,1.1354838709677415,4.367741935483871,49.548387096774185
406,渭南市,6105.0,2017,12,2.967741935483871,2.2419354838709675,0.0,1.1903225806451612,6.838709677419355,39.935483870967744
407,湖州市,3305.0,2017,1,6.37741935483871,7.238709677419354,3.093548387096774,2.370967741935484,4.148387096774194,76.5806451612903
408,湖州市,3305.0,2017,12,6.96774193548387,7.551612903225807,0.9161290322580644,2.2322580645161287,5.019354838709678,67.64516129032258
