city_code,city_name,pro_code,pro_name,city_lat,city_long
3311,丽水市,33,浙江省,28.471,119.9184
3401,合肥市,34,安徽省,31.8234,117.2218
3402,芜湖市,34,安徽省,31.3547,118.4275
3403,蚌埠市,34,安徽省,32.918,117.3839
3404,淮南市,34,安徽省,32.6275,116.9945
3405,马鞍山市,34,安徽省,31.6724,118.5016
3406,淮北市,34,安徽省,33.9573,116.7929
3407,铜陵市,34,安徽省,30.9477,117.8067
3408,安庆市,34,安徽省,30.5272,117.0514
3410,黄山市,34,安徽省,29.7171,118.3323
3411,滁州市,34,安徽省,32.3036,118.3117
3412,阜阳市,34,安徽省,32.8921,115.8088
3413,宿州市,34,安徽省,33.648,116.959
3415,六安市,34,安徽省,31.7357,116.5168
3416,亳州市,34,安徽省,33.846,115.7731
3417,池州市,34,安徽省,30.6671,117.4861
3418,宣城市,34,安徽省,30.9429,118.7537
3501,福州市,35,福建省,26.0776,119.2917
3502,厦门市,35,福建省,24.4825,118.0845
3503,莆田市,35,福建省,25.4569,119.0031
3504,三明市,35,福建省,26.2668,117.6338
3505,泉州市,35,福建省,24.8747,118.6755
3506,漳州市,35,福建省,24.5159,117.6427
3507,南平市,35,福建省,26.6451,118.1727
3508,龙岩市,35,福建省,25.0779,117.0128
3509,宁德市,35,福建省,26.6691,119.5433
3601,南昌市,36,江西省,28.6865,115.8532
3602,景德镇市,36,江西省,29.2715,117.1731
3603,萍乡市,36,江西省,27.6262,113.8492
3604,九江市,36,江西省,29.7076,115.9969
3605,新余市,36,江西省,27.8213,114.9126
3606,鹰潭市,36,江西省,28.2633,117.0639
3607,赣州市,36,江西省,25.835,114.9303
3608,吉安市,36,江西省,27.1164,114.988
3609,宜春市,36,江西省,27.8187,114.4115
3610,抚州市,36,江西省,27.9524,116.3532
3611,上饶市,36,江西省,28.4583,117.9385
3701,济南市,37,山东省,36.6506,117.1144
3702,青岛市,37,山东省,36.0668,120.3775
3703,淄博市,37,山东省,36.8126,118.0488
3704,枣庄市,37,山东省,34.8113,117.3237
3705,东营市,37,山东省,37.4341,118.6748
3706,烟台市,37,山东省,37.4638,121.4479
3707,潍坊市,37,山东省,36.7063,119.1559
3708,济宁市,37,山东省,35.4154,116.5818
3709,泰安市,37,山东省,36.2,117.0816
3710,威海市,37,山东省,37.512,122.1154
3711,日照市,37,山东省,35.4164,119.5269
3712,莱芜市,37,山东省,36.2137,117.6709
3713,临沂市,37,山东省,35.1051,118.3507
3714,德州市,37,山东省,37.4332,116.3516
3715,聊城市,37,山东省,36.4567,115.9854
3716,滨州市,37,山东省,37.3814,117.9648
3717,菏泽市,37,山东省,35.2341,115.4748
4101,郑州市,41,河南省,34.7478,113.6254
4102,开封市,41,河南省,34.7981,114.3017
4103,洛阳市,41,河南省,34.6185,112.4543
4104,平顶山市,41,河南省,33.7676,113.1865
4105,安阳市,41,河南省,37.3943,126.9568
4106,鹤壁市,41,河南省,35.7472,114.2973
4107,新乡市,41,河南省,35.3036,113.9209
4108,焦作市,41,河南省,35.2164,113.2355
4109,濮阳市,41,河南省,35.7621,115.0293
4110,许昌市,41,河南省,34.037,113.8467
4111,漯河市,41,河南省,33.5829,114.0106
4112,三门峽市,41,河南省,34.7724,111.2002
4113,南阳市,41,河南省,32.9926,112.5225
4114,商丘市,41,河南省,34.4142,115.6564
4115,信阳市,41,河南省,32.149,114.0854
4116,周口市,41,河南省,33.6203,114.6522
4117,驻马店市,41,河南省,33.0115,114.0223
4201,武汉市,42,湖北省,30.5931,114.3054
4202,黄石市,42,湖北省,30.2021,115.0332
4203,十堰市,42,湖北省,32.6294,110.798
4205,宜昌市,42,湖北省,30.6944,111.2808
4206,襄阳市,42,湖北省,32.0109,112.1163
4207,鄂州市,42,湖北省,30.3919,114.8948
