prov,year,central,west,east,lnploan,plandm,pgdpg,govexp,edu,marketization,open1
jiangsu,2005,0,0,1,0.707578004,1.32754 ,12.66326509,0.089974079,8.13395447,8.6,1.007776132
jiangsu,2006,0,0,1,0.88147102,1.56367 ,13.01506845,0.092597073,8.252660819,9.39,1.045997626
jiangsu,2007,0,0,1,1.051017189,1.94518 ,13.01506845,0.098150238,8.433078742,10.14,1.030890606
jiangsu,2008,0,0,1,1.215019016,1.69871 ,11.24354293,0.104818759,8.44295077,10.58,0.888720878
jiangsu,2009,0,0,1,1.508385361,3.35718 ,11.15413747,0.116589515,8.546052325,11.54,0.67105519
jiangsu,2010,0,0,1,1.677616389,4.85679 ,11.33286853,0.118624093,9.128952829,11.54,0.762672215
jiangxi,2005,1,0,0,-0.356243351,0.35022 ,11.42211441,0.139014879,7.531329865,6.26,0.082281799
jiangxi,2006,1,0,0,-0.226143177,0.40513 ,10.9750864,0.14447374,7.712016327,6.64,0.102888152
jiangxi,2007,1,0,0,-0.081347154,0.43253 ,11.77830357,0.156038102,8.246701703,7.1,0.124959186
jiangxi,2008,1,0,0,0.032386948,0.34879 ,11.68937515,0.173585471,8.255454042,7.48,0.137121021
jiangxi,2009,1,0,0,0.359130318,0.66160 ,11.60036758,0.204093725,8.522894132,7.65,0.113917137
jiangxi,2010,1,0,0,0.553014512,1.35078 ,12.39859798,0.203492794,8.567440206,7.65,0.155016513
liaoning,2005,0,0,1,0.634112079,0.63939 ,11.86715297,0.149660134,8.746091776,6.97,0.419047218
liaoning,2006,0,0,1,0.7583167,0.88520 ,12.66326509,0.152909882,8.922414252,7.56,0.416468721
liaoning,2007,0,0,1,0.884029175,1.64776 ,13.10282624,0.158028717,8.987017469,7.97,0.408603352
liaoning,2008,0,0,1,1.005548146,1.43802 ,12.04461531,0.157545762,9.078377009,8.31,0.372002233
liaoning,2009,0,0,1,1.275930179,2.06284 ,11.77830357,0.17632802,9.237281721,8.76,0.282256011
liaoning,2010,0,0,1,1.452071401,4.38103 ,12.57512053,0.173146668,9.457874847,8.76,0.296453377
neimenggu,2005,0,1,0,0.074387797,0.21489 ,21.02609255,0.174615893,8.223355986,5.26,0.108694805
neimenggu,2006,0,1,0,0.283073425,0.23809 ,16.97427746,0.164257617,8.192155743,5.89,0.096323028
neimenggu,2007,0,1,0,0.438994641,0.67186 ,17.05863006,0.168500713,8.356835564,5.91,0.092487821
neimenggu,2008,0,1,0,0.61661327,0.50247 ,15.78580846,0.171202515,8.369250795,6.15,0.073802535
neimenggu,2009,0,1,0,0.94001414,0.84588 ,15.01426584,0.197822027,8.494596188,6.27,0.047389841
